"For many rock fans, this double bill of the rarely seen British legend Beck and Texas tornado Vaughan will spell guitar heaven: Minneapolis (Northrop Memorial Auditorium), Oct. 25; Milwaukee (Mecca Auditorium), Oct. 27; Chicago (UIC Pavillion), Oct. 28; St. Louis (Fox Theatre), Oct. 29; Columbus, Ohio (Ohio Theatre), Oct. 31; Toronto (Sky Dome), Nov. 2; Detroit (Cobo Arena), Nov. 3; Pittsburgh (Palumbo Center), Nov. 4; Landover, Md.","O-For O-many O-rock O-fans O-, O-this O-double O-bill O-of O-the O-rarely O-seen O-British O-legend O-Beck O-and O-Texas O-tornado O-Vaughan O-will O-spell O-guitar O-heaven O-: O-Minneapolis O-( O-North X-##rop O-Memorial O-Auditorium O-) O-, O-Oct X-. O-25 O-; O-Milwaukee O-( O-Mecca O-Auditorium O-) O-, O-Oct X-. O-27 O-; O-Chicago O-( O-U X-##IC O-Pa X-##vil X-##lion O-) O-, O-Oct X-. O-28 O-; B-head-St X-. O-Louis O-( O-Fox B-dependent-Theatre O-) O-, O-Oct X-. O-29 O-; O-Columbus O-, O-Ohio O-( O-Ohio O-Theatre O-) O-, O-Oct X-. O-31 O-; O-Toronto O-( O-Sky O-Dome O-) O-, O-Nov X-. O-2 O-; O-Detroit O-( O-Co X-##bo O-Arena O-) O-, O-Nov X-. O-3 O-; O-Pittsburgh O-( O-Pa X-##lum X-##bo O-Center O-) O-, O-Nov X-. O-4 O-; O-Land X-##over O-, O-M X-##d O-."
"For many rock fans, this double bill of the rarely seen British legend Beck and Texas tornado Vaughan will spell guitar heaven: Minneapolis (Northrop Memorial Auditorium), Oct. 25; Milwaukee (Mecca Auditorium), Oct. 27; Chicago (UIC Pavillion), Oct. 28; St. Louis (Fox Theatre), Oct. 29; Columbus, Ohio (Ohio Theatre), Oct. 31; Toronto (Sky Dome), Nov. 2; Detroit (Cobo Arena), Nov. 3; Pittsburgh (Palumbo Center), Nov. 4; Landover, Md.","O-For O-many O-rock O-fans O-, O-this O-double O-bill O-of O-the O-rarely O-seen O-British O-legend O-Beck O-and O-Texas O-tornado O-Vaughan O-will O-spell O-guitar O-heaven O-: O-Minneapolis O-( O-North X-##rop O-Memorial O-Auditorium O-) O-, O-Oct X-. O-25 O-; O-Milwaukee O-( O-Mecca O-Auditorium O-) O-, O-Oct X-. O-27 O-; O-Chicago O-( O-U X-##IC O-Pa X-##vil X-##lion O-) O-, O-Oct X-. O-28 O-; O-St X-. O-Louis O-( O-Fox O-Theatre O-) O-, O-Oct X-. O-29 O-; B-head-Columbus O-, O-Ohio O-( O-Ohio B-dependent-Theatre O-) O-, O-Oct X-. O-31 O-; O-Toronto O-( O-Sky O-Dome O-) O-, O-Nov X-. O-2 O-; O-Detroit O-( O-Co X-##bo O-Arena O-) O-, O-Nov X-. O-3 O-; O-Pittsburgh O-( O-Pa X-##lum X-##bo O-Center O-) O-, O-Nov X-. O-4 O-; O-Land X-##over O-, O-M X-##d O-."
"For many rock fans, this double bill of the rarely seen British legend Beck and Texas tornado Vaughan will spell guitar heaven: Minneapolis (Northrop Memorial Auditorium), Oct. 25; Milwaukee (Mecca Auditorium), Oct. 27; Chicago (UIC Pavillion), Oct. 28; St. Louis (Fox Theatre), Oct. 29; Columbus, Ohio (Ohio Theatre), Oct. 31; Toronto (Sky Dome), Nov. 2; Detroit (Cobo Arena), Nov. 3; Pittsburgh (Palumbo Center), Nov. 4; Landover, Md.","O-For O-many O-rock O-fans O-, O-this O-double O-bill O-of O-the O-rarely O-seen O-British O-legend O-Beck O-and O-Texas O-tornado O-Vaughan O-will O-spell O-guitar O-heaven O-: O-Minneapolis O-( O-North X-##rop O-Memorial O-Auditorium O-) O-, O-Oct X-. O-25 O-; O-Milwaukee O-( O-Mecca O-Auditorium O-) O-, O-Oct X-. O-27 O-; O-Chicago O-( O-U X-##IC O-Pa X-##vil X-##lion O-) O-, O-Oct X-. O-28 O-; O-St X-. O-Louis O-( O-Fox O-Theatre O-) O-, O-Oct X-. O-29 O-; O-Columbus O-, O-Ohio O-( O-Ohio O-Theatre O-) O-, O-Oct X-. O-31 O-; B-head-Toronto O-( O-Sky B-dependent-Dome O-) O-, O-Nov X-. O-2 O-; O-Detroit O-( O-Co X-##bo O-Arena O-) O-, O-Nov X-. O-3 O-; O-Pittsburgh O-( O-Pa X-##lum X-##bo O-Center O-) O-, O-Nov X-. O-4 O-; O-Land X-##over O-, O-M X-##d O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( B-head-Ce X-##nt X-##rum O-) O-, B-dependent-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; B-head-Manhattan O-( O-Madison O-Square B-dependent-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; B-head-Cleveland O-( O-Public B-dependent-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; B-head-Dayton O-, O-Ohio O-( O-Hara B-dependent-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; B-head-Louisville O-, O-K X-##y X-. O-( O-Louisville B-dependent-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; B-head-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well B-dependent-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; B-head-Atlanta O-( B-dependent-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; O-Miami O-( O-The O-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
"(Centrum), Nov. 8; Manhattan (Madison Square Garden), Nov. 11; Cleveland (Public Hall), Nov. 14; Dayton, Ohio (Hara Arena), Nov. 15; Louisville, Ky. (Louisville Gardens), Nov. 16; Birmingham, Ala. (Boutwell Auditorium), Nov. 18; Atlanta (Omni), Nov. 19; Miami (The Arena), Nov. 21; Tampa (Sundome), Nov. 22; Houston (Sam Houston Arena), Nov. 24; Dallas (State Fair Coliseum), Nov. 25; Austin (Frank Irwin Center), Nov. 26; Albuquerque, N.M. (Tingley Arena), Nov. 28; Denver (McNichols Arena), Nov. 29; Los Angeles (Sports Arena), Dec. 1; Oakland, Calif. (Oakland Coliseum), Dec. 3.","O-( O-Ce X-##nt X-##rum O-) O-, O-Nov X-. O-8 O-; O-Manhattan O-( O-Madison O-Square O-Garden O-) O-, O-Nov X-. O-11 O-; O-Cleveland O-( O-Public O-Hall O-) O-, O-Nov X-. O-14 O-; O-Dayton O-, O-Ohio O-( O-Hara O-Arena O-) O-, O-Nov X-. O-15 O-; O-Louisville O-, O-K X-##y X-. O-( O-Louisville O-Gardens O-) O-, O-Nov X-. O-16 O-; O-Birmingham O-, O-Al X-##a X-. O-( O-Bo X-##ut X-##well O-Auditorium O-) O-, O-Nov X-. O-18 O-; O-Atlanta O-( O-O X-##m X-##ni O-) O-, O-Nov X-. O-19 O-; B-head-Miami O-( O-The B-dependent-Arena O-) O-, O-Nov X-. O-21 O-; O-Tampa O-( O-Sun X-##dom X-##e O-) O-, O-Nov X-. O-22 O-; O-Houston O-( O-Sam O-Houston O-Arena O-) O-, O-Nov X-. O-24 O-; O-Dallas O-( O-State O-Fair O-Coliseum O-) O-, O-Nov X-. O-25 O-; O-Austin O-( O-Frank O-Irwin O-Center O-) O-, O-Nov X-. O-26 O-; O-Albuquerque O-, O-N X-. X-M X-. O-( O-Tin X-##gley O-Arena O-) O-, O-Nov X-. O-28 O-; O-Denver O-( O-M X-##c X-##N X-##ich X-##ols O-Arena O-) O-, O-Nov X-. O-29 O-; O-Los O-Angeles O-( O-Sports O-Arena O-) O-, O-Dec X-. O-1 O-; O-Oakland O-, O-Cal X-##if O-. O-( O-Oakland O-Coliseum O-) O-, O-Dec X-. O-3 O-."
